strain	date	url	mutational_fitness	region	division	recency	country	clade_membership	pango_lineage	emerging_lineage	Nextclade_pango	current_frequency	epiweek	S1_mutations	genbank_accession	host	submitting_lab	author	accession	originating_lab	ace2_binding	immune_escape	logistic_growth
USA/IL-UW-2327/2020	2020-09-25		0.06	North America	Illinois	Older	USA	20A	B.1.396	20A	B.1.396		202039	1.00	MW403611	Homo sapiens	UW-Madison, Pathology and Laboratory Medicine	Moreno et al					
USA/VSP0359/2020	2020-09-16		0.07	North America	Pennsylvania	Older	USA	20A	B.1.240	20A	B.1.240		202038	1.00	OK245584	Homo sapiens	University of Pennsylvania, Microbiology	Marques et al					
USA/0-17067-2/2020	2020-06-30		0.06	North America	Tennessee	Older	USA	20A	B.1.240	20A	B.1.240		202027	1.00	OP725741	Homo sapiens	University Clinical Health, UTMG Pathology LLC	Kumaravelu et al					
USA/SRL_254602760/2020	2020-08-20		0.07	North America	Indiana	Older	USA	20A	B.1.240	20A	B.1.240		202034	1.00	MZ147823	Homo sapiens	Sonic Reference Lab, Molecular	Moller et al					
USA/G_S028_070820/2020	2020-07-08		0.07	North America	Colorado	Older	USA	20A	B.1.240	20A	B.1.240		202028	1.00	OP724477	Homo sapiens	Colorado State University, Microbiology and Immunology	Sexton et al					
USA/G_S083_071420/2020	2020-07-14		0.07	North America	Colorado	Older	USA	20A	B.1.240	20A	B.1.240		202029	1.00	OP724549	Homo sapiens	Colorado State University, Microbiology and Immunology	Sexton et al					
USA/TG808487/2020	2020-08-24		0.11	North America	Arizona	Older	USA	20A	B.1.243	20A	B.1.243		202035	1.00	MZ915387	Homo sapiens	The Translational Genomics Research Institute COVID submission group, Bioinformatics	Bowers et al		Sonora Quest Laboratories - Phoenix			
Mexico/SEARCH-102672/2020	2020-05-08		0.07	North America	Baja California	Older	Mexico	20A	B.1.243	20A	B.1.243		202019	1.00	OK549032	Homo sapiens	SEARCH Alliance San Diego, Scripps Research Institute	Andersen et al		SEARCH Alliance San Diego with Gisela Barrera Badillo, Jose Ernesto Ramirez Gonzalez, Maria Natividad Cruz Ortiz, Nervain Benjamin Contreras Gonzalez, Tatiana Ernestina Nunez Garcia, Dayanira Sarith Arellano Suarez, Irma Lopez Martinez, Rita Flores Leon, Beatriz Olivares Flores with the help of Instituto de Diagnostico y Referencia Epidemiologicos (InDRE)			
Mexico/BCN-SEARCH-103032/2020	2020-09-09		0.07	North America	Baja California	Older	Mexico	20A	B.1.243	20A	B.1.243		202037	1.00	OK549355	Homo sapiens	SEARCH Alliance San Diego, Scripps Research Institute	Andersen et al		SEARCH Alliance San Diego with Gisela Barrera Badillo, Jose Ernesto Ramirez Gonzalez, Maria Natividad Cruz Ortiz, Nervain Benjamin Contreras Gonzalez, Tatiana Ernestina Nunez Garcia, Dayanira Sarith Arellano Suarez, Irma Lopez Martinez, Rita Flores Leon, Beatriz Olivares Flores with the help of Instituto de Diagnostico y Referencia Epidemiologicos (InDRE)			
MEX/CMX-141/2020	2020-08-16		0.06	North America	Mexico	Older	Mexico	20A	B.1.243	20A	B.1.243		202034	1.00	OK435501	Homo sapiens	Instituto de Biotecnologia, Genetica del Desarrollo y Fisiologia Molecular	Taboada et al					
USA/NV-CDC-2-4044414/2020	2020-12-15		0.07	North America	Nevada	Older	USA	20A	B.1.243	20A	B.1.243		202051	1.00	MZ779859	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al					
USA/NV-QDX-3361/2020	2020-09-29		0.05	North America	Nevada	Older	USA	20A	B.1.243	20A	B.1.243		202040	1.00	MW522454	Homo sapiens	Quest Diagnostics, Infectious Diseases	Rosenthal et al					
Mexico/SEARCH-101048/2021	2021-01-04		0.11	North America	Baja California	Older	Mexico	20A	B.1.243	20A	B.1.243		202101	1.00	OK547756	Homo sapiens	SEARCH Alliance San Diego, Scripps Research Institute	Andersen et al		SEARCH Alliance San Diego with Aaron Harding, Jacquelyn Berumen, Cathy Woerle, Liam McGinnis, Art Mendoza, Omid Bakhtar with the help of Sharp HealthCare Laboratory			
USA/OK-CDC-STM-000021712/2021	2021-02-22		0.11	North America	Oklahoma	Older	USA	20A	B.1.243	20A	B.1.243		202108	2.00	MW778980	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Cook et al					
USA/MP-CDC-2-3831116/2020	2020-11-09		0.12	North America	Northern Mariana Islands	Older	USA	20A	B.1.243	20A	B.1.243		202046	2.00	MZ779337	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al					
USA/HI-CDC-2-4068580/2021	2021-01-02		-0.12	North America	Hawaii	Older	USA	20A	B.1.243	20A	B.1.243		202053	2.00	MW709184	Homo sapiens	CDC Pathogen Discovery Team, Division of Viral Diseases	Queen et al					
USA/MP-CDC-2-3831115/2020	2020-10-26		0.12	North America	Northern Mariana Islands	Older	USA	20A	B.1.243	20A	B.1.243		202044	2.00	MZ779336	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al					
USA/NH-CDC-LC0002494/2020	2020-12-29		0.12	North America	New Hampshire	Older	USA	20A	B.1.243	20A	B.1.243		202053	2.00	MW635135	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Cook et al					
USA/DE-CDC-2-3904725/2021	2021-02-08		0.14	North America	Delaware	Older	USA	20A	B.1.243	20A	B.1.243		202106	2.00	MZ779538	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al					
USA/DE-CDC-2-3904707/2021	2021-02-10		0.11	North America	Delaware	Older	USA	20A	B.1.243	20A	B.1.243		202106	2.00	MZ779522	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al					
USA/DE-CDC-STM-000009088/2021	2021-01-31		0.11	North America	Delaware	Older	USA	20A	B.1.243	20A	B.1.243		202105	2.00	MW617485	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Cook et al					
USA/WI-UW-431/2020	2020-05-01		0.04	North America	Wisconsin	Older	USA	20A	B.1	20A	B.1		202018	1.00	MT772580	Homo sapiens	UW-Madison, Pathology and Laboratory Medicine	Moreno et al					
USA/OK-QDX-3271/2020	2020-11-07		0.07	North America	Oklahoma	Older	USA	20A	B.1	20A	B.1		202045	1.00	MW522462	Homo sapiens	Quest Diagnostics, Infectious Diseases	Rosenthal et al					
USA/0-28986-2/2020	2020-06-26		0.04	North America	Tennessee	Older	USA	20A	B.1.110.3	20A	B.1.110.3		202026	1.00	OP725762	Homo sapiens	University Clinical Health, UTMG Pathology LLC	Kumaravelu et al					
USA/SC_1805_T42/2020	2020-08-23		0.04	North America	South Carolina	Older	USA	20A	B.1.110.3	20A	B.1.110.3		202035	1.00	MW479988	Homo sapiens	Naval Medical Research Center, Biological Defense Research Directorate, Genomics & Bioinformatics Department	Arnold et al					
USA/SC_1783_T42/2020	2020-08-23		0.04	North America	South Carolina	Older	USA	20A	B.1.110.3	20A	B.1.110.3		202035	1.00	MW479986	Homo sapiens	Naval Medical Research Center, Biological Defense Research Directorate, Genomics & Bioinformatics Department	Arnold et al					
USA/CO-UW-113/2020	2020-03-31		0.04	North America	Colorado	Older	USA	20A	B.1	20A	B.1		202014	1.00	MT706233	Homo sapiens	UW-Madison, Pathology and Laboratory Medicine	Moreno et al		UWHC			
USA/KS-CDC-03068207-001/2020	2020-03-06		0.04	North America	Kansas	Older	USA	20A	B.1	20A	B.1		202010	1.00	MT325580	Homo sapiens	Centers for Disease Control and Prevention, Division of Viral Diseases	Li et al					
USA/FL-BPHL-0539/2020	2020-03-09		0.09	North America	Florida	Older	USA	20A	B.1	20A	B.1		202011	1.00	MT834605	Homo sapiens	FLDOH, BPHL	Schmedes et al		Florida Bureau of Public Health Laboratories			
USA/CT-Yale-308/2020	2020-03-30		0.06	North America	Connecticut	Older	USA	20A	B.1	20A	B.1		202014	2.00	MT877348	Homo sapiens	Yale School of Public Health, Epidemiology of Microbial Diseases	Jensen et al					
USA/IL-CDC-03068473-001/2020	2020-03-07		0.04	North America	Illinois	Older	USA	20A	B.1.111	20A	B.1.111		202010	1.00	MT325577	Homo sapiens	Centers for Disease Control and Prevention, Division of Viral Diseases	Li et al					
USA/NY-UW-584/2020	2020-06-23		0.03	North America	New York	Older	USA	20A	B.1.112	20A	B.1		202026	1.00	MT750163	Homo sapiens	UW-Madison, Pathology and Laboratory Medicine	Moreno et al					
USA/WA-S1931/2020	2020-06-03		0.04	North America	Washington	Older	USA	20A	B.1.124	20A	B.1		202023	1.00	MT831455	Homo sapiens	Seattle Flu Study, University of Washington Medical Center	Nickerson et al		Washington State Department of Health			
USA/SC_2108_T42/2020	2020-09-20		0.04	North America	South Carolina	Older	USA	20A	B.1.436	20A	B.1.436		202039	1.00	MW480000	Homo sapiens	Naval Medical Research Center, Biological Defense Research Directorate, Genomics & Bioinformatics Department	Arnold et al					
USA/VA-CDC-03068896-001/2020	2020-03-08		0.04	North America	Virginia	Older	USA	20A	B.1	20A	B.1		202011	1.00	MT325611	Homo sapiens	Centers for Disease Control and Prevention, Division of Viral Diseases	Li et al					
CAN/COVID_CRCHUM_Pre_Freeze_5/2020	2020-09-04		0.12	North America	Canada	Older	Canada	20A	B.1.160	20A	B.1.160		202036	2.00	MW309429	Homo sapiens	Centre de Recherche du Centre Hospitalier de l'Universite de Montreal, Microbiology, Infectious Diseases and Immunology	Benoit et al					
USA/NM-CDC-2-4611478/2021	2021-06-23		0.73	North America	New Mexico	Older	USA	21H (Mu)	B.1.621	21H (Mu)	B.1.621		202125	9.00	MZ780770	Homo sapiens	Centers for Disease Control and Prevention, Biotechnology Core Facility Branch	Sheth et al					
Mexico/CHH-SEARCH-105318/2021	2021-07-03		0.68	North America	Chihuahua	Older	Mexico	21H (Mu)	B.1.621	21H (Mu)	B.1.621		202126	8.00	OK550236	Homo sapiens	SEARCH Alliance San Diego, Scripps Research Institute	Andersen et al		SEARCH Alliance San Diego with Abraham Campos Romero, Miguel A. Fernandez Rojas, Marco Antonio Luna Ruiz-Esparza, Jose Luis Moreno Camacho, Abraham Garcia Gil with the help of Salud Digna, A.C			
USA/WV-CDC-LC0073658/2021	2021-06-07		0.68	North America	West Virginia	Older	USA	21H (Mu)	B.1.621	21H (Mu)	B.1.621		202123	9.00	OK235262	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al					
USA/DC-DFS-PHL-0835/2021	2021-05-03		0.67	North America	Washington DC	Older	USA	21H (Mu)	B.1.621.1	21H (Mu)	B.1.621.1		202118	8.00	MZ714335	Homo sapiens	DC DFS PHL NCBI Submission Group, Molecular Diagnostics Unit	Nguyen et al					
USA/CT-CDC-QDX26076004/2021	2021-06-19		0.68	North America	Connecticut	Older	USA	21H (Mu)	B.1.621.1	21H (Mu)	B.1.621.1		202124	8.00	OK251373	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases	Howard et al					
USA/VSP0012/2020	2020-04-08		0.02	North America	Pennsylvania	Older	USA	20C	B.1	20C	B.1		202015	2.00	OK245528	Homo sapiens	University of Pennsylvania, Microbiology	Marques et al					
USA/NY-QDX-1222/2020	2020-03-16		0.01	North America	New York	Older	USA	20C	B.1	20C	B.1		202012	1.00	MW065297	Homo sapiens	Quest Diagnostics, Infectious Diseases	Rosenthal et al		Quest Diagnostics			
USA/NM-UNM-00029/2020	2020-03-17		0.01	North America	New Mexico	Older	USA	20C	B.1	20C	B.1		202012	1.00	ON613107	Homo sapiens	The University of New Mexico Health Sciences Center	Domman et al		New Mexico Department of Health Scientific Laboratory Division			
USA/NH-CDC-03065707-001/2020	2020-02-29		-0.02	North America	New Hampshire	Older	USA	20C	B.1.356	20C	B.1.356		202009	1.00	MT304484	Homo sapiens	Centers for Disease Control and Prevention, Division of Viral Diseases	Queen et al					
USA/AK193/2020	2020-04-09		0.01	North America	Alaska	Older	USA	20C	B.1.38	20C	B.1		202015	1.00	MT477860	Homo sapiens	Alaska State Virology Laboratory	DeRonde et al					
Belize/UN-CDC-3595771-001/2020	2020-03-27		0.10	North America	Belize	Older	Belize	20C	B.1	20C	B.1		202013	2.00	MT844026	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Zhang et al					
USA/211-ETA/2020	2020-04-13		0.00	North America	Pennsylvania	Older	USA	20C	B.1	20C	B.1		202016	2.00	MW001236	Homo sapiens	University of Pennsylvania, Microbiology	Everett et al					
USA/CT-Yale-333/2020	2020-05-12		0.01	North America	Connecticut	Older	USA	20C	B.1	20C	B.1		202020	1.00	MT886446	Homo sapiens	Yale School of Public Health, Epidemiology of Microbial Diseases	Fauver et al		Yale COVID-19 Biorepository			
USA/MI-MDHHS-SC21709/2020	2020-05-19		0.01	North America	Michigan	Older	USA	20C	B.1.507	20C	B.1		202021	1.00	OL817041	Homo sapiens	Michigan Department of Health and Human Services, Bureau of Laboratories	Blankenship et al					
CAN/HCW19/2020	2020-05-09		0.01	North America	Canada	Older	Canada	20C	B.1	20C	B.1		202019	1.00	OM540775	Homo sapiens	Centre Hostalier de l'Universite de Montreal, Microbiology, Infectious Diseases and Immunology	Benoit et al					
USA/MD-MDH-0087/2020	2020-05-26		0.03	North America	Maryland	Older	USA	20C	B.1.369	20C	B.1		202022	1.00	MT827253	Homo sapiens	Maryland Department of Health, CSL	Keller et al					
USA/TX-DSHS-1806/2020	2020-06-15		0.02	North America	Texas	Older	USA	20C	B.1.571	20C	B.1		202025	1.00	MW425733	Homo sapiens	Texas Department of State Health Services-SARS-CoV-2 submission group, Laboratory Services Section	Pokharel et al		Texas Department of State Health Services			
USA/MA-MGH-03021/2020	2020-07-31		0.07	North America	Massachusetts	Older	USA	20C	B.1.369	20C	B.1		202031	1.00	MW454583	Homo sapiens	Broad Institute of Harvard and MIT, Infectious Disease Program	Lemieux et al		Massachusetts General Hospital			
USA/SD-SDPHL-0395/2020	2020-08-31		0.04	North America	South Dakota	Older	USA	20C	B.1.369	20C	B.1		202036	2.00	MZ611532	Homo sapiens	South Dakota Department of Health, South Dakota Public Health Laboratory	Carlson et al		South Dakota Public Health Laboratory			
USA/VT-CDC-2-4044707/2020	2020-12-23		0.02	North America	Vermont	Older	USA	20C	B.1.564	20C	B.1		202052	2.00	MW550480	Homo sapiens	CDC Pathogen Discovery Team, Division of Viral Diseases	Queen et al					
USA/NC-QDX-4457/2020	2020-08-19		0.02	North America	North Carolina	Older	USA	20C	B.1.369	20C	B.1		202034	1.00	MW566535	Homo sapiens	Quest Diagnostics, Infectious Diseases	Rosenthal et al					
USA/DC-DFS-PHL-0072/2020	2020-05-14		0.02	North America	Washington DC	Older	USA	20C	B.1.369	20C	B.1		202020	1.00	MZ488075	Homo sapiens	DC DFS PHL NCBI Submission Group, Molecular Diagnostics Unit	Nguyen et al					
USA/SC_3451_T56/2020	2020-10-25		0.01	North America	South Carolina	Older	USA	20C	B.1.369	20C	B.1		202044	1.00	MW480024	Homo sapiens	Naval Medical Research Center, Biological Defense Research Directorate, Genomics & Bioinformatics Department	Arnold et al					
USA/CT-Yale-031/2020	2020-03-18		0.02	North America	Connecticut	Older	USA	20C	B.1	20C	B.1		202012	2.00	MT635224	Homo sapiens	Yale School of Public Health, Epidemiology of Microbial Diseases	Fauver et al		Yale Clinical Virology Laboratory			
USA/OH-UHTL-14/2020	2020-04-03		0.01	North America	Ohio	Older	USA	20C	B.1	20C	B.1		202014	1.00	MW590346	Homo sapiens	University Hospitals, UHTL	Sadri et al					
USA/KS-QDX-4448/2020	2020-08-20		0.08	North America	Kansas	Older	USA	20C	B.1.311	20C	B.1.311		202034	1.00	MW566509	Homo sapiens	Quest Diagnostics, Infectious Diseases	Rosenthal et al					
USA/NC-CDC-LC0001424/2020	2020-12-28		0.10	North America	North Carolina	Older	USA	20C	B.1.311	20C	B.1.311		202053	1.00	MW634676	Homo sapiens	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Cook et al					
USA/CT-Yale-146/2020	2020-03-25		0.01	North America	Connecticut	Older	USA	20C	B.1	20C	B.1		202013	1.00	MT886441	Homo sapiens	Yale School of Public Health, Epidemiology of Microbial Diseases	Fauver et al		Connecticut State Department of Public Health			
USA/MI-MDHHS-SC20617/2020	2020-04-30		0.01	North America	Michigan	Older	USA	20C	B.1	20C	B.1		202018	1.00	MT585064	Homo sapiens	Michigan Department of Health and Human Services, Bureau of Laboratories - Division Infectious Disease	Blankenship et al					
USA/WY-WYPHL-20015627/2020	2020-05-18		0.01	North America	Wyoming	Older	USA	20C	B.1.492	20C	B.1		202021	1.00	MW039450	Homo sapiens	Wyoming Public Health Laboratory, Microbiology	Hull et al		Wyoming Public Health Laboratory			
USA/20U122MD00289_2-23-2022/2020	2020-05-01		0.02	North America	Arkansas	Older	USA	20C	B.1.432	20C	B.1		202018	1.00	OM831491	Homo sapiens	University of Arkansas for Medical Sciences, Department of Pathology and Laboratory Services	Harley et al		University of Arkansas for Medical Sciences			
USA/WY-WYPHL-20007411/2020	2020-04-02		0.01	North America	Wyoming	Older	USA	20C	B.1	20C	B.1		202014	1.00	MT791312	Homo sapiens	Wyoming Public Health Laboratory, Microbiology	Hull et al		Wyoming Public Health Laboratory			
USA/MI-MDHHS-SC26245/2020	2020-04-03		0.01	North America	Michigan	Older	USA	20C	B.1	20C	B.1		202014	1.00	OL905205	Homo sapiens	Michigan Department of Health and Human Services, Bureau of Laboratories	Blankenship et al					
USA/AL-QDX-3486/2020	2020-09-03		0.05	North America	Alabama	Older	USA	20C	B.1.541	20C	B.1		202036	1.00	MW521655	Homo sapiens	Quest Diagnostics, Infectious Diseases	Rosenthal et al					
USA/MP_NCOV20-34641/2020	2020-07-15		0.01	North America	Nebraska	Older	USA	20C	B.1.315	20C	B.1		202029	1.00	OP764719	Homo sapiens	Nebraska Public Health Laboratory, Department of Pathology and Microbiology	Anzalone et al					
USA/NJ-QDX-4480/2020	2020-09-10		0.10	North America	New Jersey	Older	USA	20C	B.1.293	20C	B.1		202037	1.00	MW566542	Homo sapiens	Quest Diagnostics, Infectious Diseases	Rosenthal et al					
USA/VSP0327/2020	2020-08-26		0.04	North America	Pennsylvania	Older	USA	20C	B.1.340	20C	B.1.340		202035	2.00	OK245582	Homo sapiens	University of Pennsylvania, Microbiology	Marques et al					
USA/MI-MDHHS-SC20992/2020	2020-06-10		0.10	North America	Michigan	Older	USA	20C	B.1.311	20C	B.1		202024	1.00	OL757123	Homo sapiens	Michigan Department of Health and Human Services, Bureau of Laboratories	Blankenship et al					
USA/WA-S833/2020	2020-04-16		0.01	North America	Washington	Older	USA	20C	B.1	20C	B.1		202016	1.00	MT641570	Homo sapiens	Seattle Flu Study, University of Washington Medical Center	Nickerson et al		Washington State Department of Health			
